Q4,Q5,Q5_TEXT,Q6,Q7,Q8,Q9_22,Q9_23,Q9_24,Q9_25,Q9_26,Q9_27,Q9_28,Q9_29,Q9_30,Q9_31,Q9_32,Q9_33,Q9_34,Q9_35,Q9_36,Q9_37,Q9_38,Q9_39,Q10_40,Q10_41,Q10_42,Q10_43,Q10_44,Q10_45,Q10_46,Q10_47,Q10_48,Q10_49,Q10_50,Q10_51,Q10_52,Q10_53,Q10_54,Q10_55,Q10_56,Q10_57,Q11,Q12_58,Q12_59,Q12_60,Q12_61,Q12_62,Q12_63,Q12_64,Q12_65,Q12_66,Q12_67,Q12_68,Q12_69,Q12_70,Q12_71,Q12_72,Q12_73,Q12_74,Q12_75,Q12_76,Q12_77,Q12_78,Q12_79,Q12_80,Q12_81,Q12_82,Q12_83,Q12_84,Q12_85,Q13_79,Q13_80,Q13_81,Q13_82,Q13_83,Q14_1,Q15,Q16,Q17,Q18,Q19,LocationLatitude,LocationLongitude,LocationAccuracy
stop&shop,1, ,1,4,1,5,2,2,1,4,4,2,3,3,1,2,4,2,2,2,1,2,5,2,2,4,4,2,2,4,3,5,1,3,4,2,3,3,4,3,3,1,2,2,2,2,3,1,2,2,2,3,2,3,2,3,2,2,2,3,3,3,3,3,3,2,3,2,2,2,1,2,3,3,3,24,1,12.5,3,5,1,40.696304321289,-73.620697021484,-1
macy's,3, ,2,4,1,6,3,2,4,6,3,3,6,5,5,4,5,5,4,3,2,3,4,6,7,7,3,4,2,5,5,5,3,7,5,4,5,3,6,6,6,1,2,6,4,2,5,2,2,2,5,2,5,5,2,3,2,6,3,5,4,2,3,5,4,3,6,3,5,6,6,5,3,7,4,35,1,87.5,5,1,1,40.722793579102,-73.516998291016,-1
Macy's,3, ,1,4,1,5,5,5,3,5,3,3,5,5,3,5,5,5,3,5,5,5,5,5,2,3,5,4,2,1,4,2,4,4,4,2,2,2,4,1,1,1,3,3,3,2,4,4,4,3,4,3,2,3,3,3,2,3,3,3,6,3,3,4,3,3,3,4,3,4,3,2,2,1,3,27,0,12.5,3,5,1,40.620101928711,-73.986801147461,-1
Seven eleven,1, ,2,6,1,5,2,1,3,2,4,6,4,6,7,5,4,3,4,6,4,2,1,5,6,4,4,5,2,2,1,5,4,7,4,5,2,4,6,2,3,1,5,3,5,2,3,4,2,2,5,5,6,2,6,3,3,4,6,4,1,3,1,6,3,2,2,2,3,5,3,4,2,3,6,30,1,112.5,4,3,1,40.722793579102,-73.516998291016,-1
 ,1, ,1,4,1,1,1,2,1,1,2,1,2,2,2,2,1,1,2,2,1,1,2,1,3,3,3,1,3,2,3,3,3,3,3,3,2,3,1,1,1,1,2,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,29,1,87.5,5,5,1,40.696304321289,-73.620697021484,-1
wegmans,1, ,2,5,1,3,2,2,2,2,2,3,2,3,3,2,3,2,2,2,3,2,2,3,3,3,2,2,3,3,2,2,2,2,2,2,2,2,2,2,3,1,2,2,3,2,2,2,3,2,2,2,3,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,5,5,6,5,6,22,1,12.5,3,5,1,43.029998779297,-76.124198913574,-1
stop&shop,1, ,3,5,1,3,3,3,3,2,3,4,3,3,3,3,3,3,4,4,3,3,2,3,3,2,3,3,3,5,2,5,3,3,3,3,4,5,3,4,3,1,4,3,3,2,2,4,3,2,3,3,3,2,3,3,2,3,2,3,3,2,3,2,4,4,2,3,4,3,5,2,2,3,2,31,1,37.5,5,5,1,40.722503662109,-73.556800842285,-1
Walmart,1, ,2,5,1,2,3,2,3,2,2,3,3,2,3,3,3,1,2,4,2,2,3,2,3,3,3,3,3,3,3,3,2,2,2,2,3,3,3,2,2,1,1,2,3,2,3,3,4,3,2,2,3,3,2,3,2,3,3,3,3,1,3,3,3,2,2,2,2,3,3,2,3,2,3,23,0,12.5,3,2,1,40.705795288086,-73.592300415039,-1
Target,1, ,3,10,1,4,5,2,5,6,5,6,5,5,6,3,4,3,6,5,4,3,5,2,4,4,5,3,3,5,5,4,6,3,4,2,6,4,5,4,5,1,3,6,2,2,2,2,4,5,5,3,5,6,6,6,4,3,3,3,5,4,3,5,4,3,5,3,3,5,2,5,2,2,2,33,1,137.5,5,1,1,40.82209777832,-74.456398010254,-1
stop&shop,1, ,3,5,1,4,4,4,5,3,4,4,3,5,4,4,4,5,5,3,5,4,4,4,4,6,4,4,3,4,5,3,5,5,5,6,4,5,3,4,4,1,5,5,5,2,5,5,3,5,6,5,5,4,3,6,5,5,3,7,3,4,3,3,6,4,5,4,4,6,4,5,5,4,5,27,0,12.5,3,5,1,40.696304321289,-73.620697021484,-1
Stop shop,1, ,2,5,1,4,1,3,1,2,1,2,4,2,3,3,2,3,2,2,2,2,3,1,2,3,2,7,3,2,2,6,2,6,3,2,3,6,3,3,5,1,1,2,2,2,2,3,3,2,3,4,2,2,2,1,5,2,2,3,3,1,5,3,3,3,3,1,1,1,5,5,5,6,6,36,0,62.5,5,1,1,40.705795288086,-73.592300415039,-1
Target,2, ,3,10,1,4,2,2,2,3,2,2,3,4,4,3,3,3,3,3,3,3,3,4,4,4,2,2,4,3,2,1,3,3,3,4,3,3,3,1,4,1,5,3,2,2,4,5,3,4,3,3,4,4,4,3,4,3,5,5,2,3,5,4,3,3,3,3,3,3,3,2,3,2,3,29,1,62.5,3,5,1,40.714294433594,-74.005996704102,-1
Guitar center,4, ,1,7,1,2,3,4,3,6,2,3,2,2,1,3,5,5,1,5,2,4,2,2,4,3,4,4,4,3,3,3,5,2,1,3,2,4,1,2,1,1,2,4,2,2,1,1,4,3,6,5,4,4,5,4,5,7,4,5,7,2,4,4,4,1,6,4,4,4,4,2,2,2,2,37,1,162.5,5,1,1,40.87190246582,-73.434700012207,-1
