Q4,Q5,Q5_TEXT,Q6,Q7,Q8,Q9_22,Q9_23,Q9_24,Q9_25,Q9_26,Q9_27,Q9_28,Q9_29,Q9_30,Q9_31,Q9_32,Q9_33,Q9_34,Q9_35,Q9_36,Q9_37,Q9_38,Q9_39,Q10_40,Q10_41,Q10_42,Q10_43,Q10_44,Q10_45,Q10_46,Q10_47,Q10_48,Q10_49,Q10_50,Q10_51,Q10_52,Q10_53,Q10_54,Q10_55,Q10_56,Q10_57,Q11,Q12_58,Q12_59,Q12_60,Q12_61,Q12_62,Q12_63,Q12_64,Q12_65,Q12_66,Q12_67,Q12_68,Q12_69,Q12_70,Q12_71,Q12_72,Q12_73,Q12_74,Q12_75,Q12_76,Q12_77,Q12_78,Q12_79,Q12_80,Q12_81,Q12_82,Q12_83,Q12_84,Q12_85,Q13_79,Q13_80,Q13_81,Q13_82,Q13_83,Q14_1,Q15,Q16,Q17,Q18,Q19,LocationLatitude,LocationLongitude,LocationAccuracy
Target,1, ,2,10,1,6,5,6,4,6,6,5,5,4,6,5,3,5,2,6,5,3,5,5,4,4,6,6,5,6,5,3,2,3,4,5,6,6,5,2,5,1,3,6,2,4,4,5,4,2,5,5,1,3,6,4,3,5,5,3,6,4,3,5,6,6,4,2,4,2,6,6,5,4,6,37,1,12.5,3,5,1,40.75700378418,-73.581398010254,-1
sephora,3, ,2,7,1,5,6,4,5,6,6,6,3,4,4,6,4,4,7,7,3,6,6,5,5,4,6,6,5,5,5,5,5,5,4,5,3,4,5,4,4,1,3,4,3,4,4,4,5,6,4,5,5,4,5,4,4,5,7,4,5,4,5,4,4,4,4,4,5,4,4,4,4,5,5,24,0,37.5,4,2,1,40.696304321289,-73.620697021484,-1
Shoprite,3, ,1,10,1,5,5,5,5,5,4,4,5,4,3,6,6,4,5,5,3,5,4,3,6,5,6,6,5,4,4,3,6,5,6,3,5,4,6,3,6,1,4,4,3,4,5,5,5,5,4,5,5,5,5,4,3,5,3,5,4,5,3,5,6,5,5,4,4,6,6,5,4,6,5,37,0,37.5,5,2,1,40.696304321289,-73.620697021484,-1
walgreen,1, ,2,9,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,2,6,6,5,6,6,5,6,5,7,6,6,5,4,5,6,5,6,7,1,4,4,7,4,6,4,4,6,6,4,6,3,4,6,2,3,4,7,5,7,3,4,5,6,6,5,6,4,5,5,4,4,4,21,0,12.5,3,5,1,40.722503662109,-73.556800842285,-1
northdorm,3, ,2,7,1,5,2,5,6,5,2,6,6,2,2,6,3,6,5,6,6,4,3,4,5,6,6,6,5,4,4,5,5,6,5,6,2,6,4,6,5,1,4,6,5,4,6,3,6,6,5,5,6,4,3,5,5,5,4,2,5,3,6,3,4,5,4,3,4,6,6,4,5,6,6,25,0,87.5,5,2,1,40.722503662109,-73.556800842285,-1
Best buy,2, ,1,7,1,4,5,4,5,5,4,6,4,5,6,5,5,5,5,6,5,4,5,5,6,6,6,6,5,6,5,5,6,7,7,6,6,6,5,7,6,1,4,4,5,4,4,4,5,4,4,6,4,6,5,5,5,4,4,5,5,5,5,5,4,5,5,5,5,4,6,6,6,5,5,24,1,62.5,4,5,1,40.696304321289,-73.620697021484,-1
BJ‘s,1, ,3,6,1,6,5,4,6,6,6,5,5,4,5,5,6,5,5,7,6,6,4,7,6,6,4,7,5,7,5,6,5,6,5,6,6,5,6,5,5,1,5,5,6,4,4,5,6,6,6,5,4,6,5,5,5,4,6,5,5,4,4,6,5,5,5,5,5,5,4,5,5,4,4,26,0,87.5,4,5,1,40.696304321289,-73.620697021484,-1
toys r us,3, ,2,7,1,6,5,4,5,4,5,6,4,4,5,6,5,4,5,6,5,5,5,4,4,6,5,7,5,4,4,6,4,4,4,5,7,6,5,7,5,1,5,4,4,4,4,6,4,6,6,5,6,5,4,5,4,4,5,5,6,4,4,5,5,5,6,5,6,6,4,5,5,5,5,53,0,62.5,3,5,1,40.696304321289,-73.620697021484,-1
Dicks,2, ,1,7,1,4,5,6,4,5,5,3,3,5,6,4,6,5,5,4,6,5,4,6,6,6,7,7,5,6,6,7,6,5,5,6,6,5,5,6,6,1,6,6,4,4,4,5,6,5,6,5,5,5,6,6,5,5,4,6,4,4,6,5,4,5,5,5,6,6,7,7,6,7,6,33,0,87.5,5,1,1,40.744903564453,-73.978202819824,-1
Shin Kong Place,3, ,3,4,1,3,4,5,5,7,5,4,3,2,2,3,5,3,5,7,5,6,6,5,5,3,4,3,6,4,3,4,3,5,4,5,4,4,3,3,3,1,2,5,2,4,2,2,3,4,3,2,6,6,6,6,2,3,3,3,5,6,4,5,4,6,2,6,4,6,4,6,5,3,3,26,0,12.5,5,5,1,39.928894042969,116.38830566406,-1
Walmart,1, ,2,5,1,3,3,6,5,3,6,7,3,5,2,4,7,4,2,4,5,1,3,4,6,5,2,4,6,3,3,2,4,6,5,4,5,5,3,3,2,1,7,5,3,4,1,3,6,5,2,1,3,3,7,2,7,5,4,2,5,2,7,7,2,7,4,1,6,3,6,2,4,3,2,24,0,37.5,3,5,1,40.722793579102,-73.516998291016,-1
waldbaums,1, ,3,5,1,3,6,4,6,6,4,7,4,4,4,5,4,7,4,7,6,4,4,4,5,6,4,4,6,5,5,6,6,4,4,2,4,4,5,4,5,1,7,6,4,4,4,4,6,5,5,4,7,7,7,7,5,5,4,4,6,4,6,5,5,6,4,5,2,2,4,4,7,6,5,23,0,62.5,5,5,1,40.815200805664,-73.362396240234,-1
Barnes & Noble,5, ,1,7,1,4,3,6,6,6,4,3,6,4,4,6,6,5,5,6,4,4,4,5,4,4,5,4,6,4,4,4,4,4,4,6,3,4,2,2,4,1,4,4,4,4,4,2,4,4,5,4,6,6,6,4,4,4,4,4,3,4,6,4,4,4,4,4,6,4,4,4,4,4,4,25,1,12.5,4,5,1,40.521392822266,-74.275199890137,-1
macy's,3, ,2,4,1,4,5,3,4,3,5,5,3,4,4,5,4,6,4,5,3,5,5,5,4,5,5,4,6,6,4,5,6,5,6,4,5,6,3,5,6,1,5,6,4,4,5,5,5,4,5,5,4,5,6,5,5,5,6,5,6,5,3,4,4,4,5,4,4,6,5,5,5,4,4,23,0,12.5,3,5,1,40.696304321289,-73.620697021484,-1
family,1, ,3,4,1,6,6,6,6,5,6,6,6,6,5,5,6,6,6,5,5,5,5,4,5,5,6,4,6,7,4,5,6,5,5,6,6,4,5,6,5,1,4,4,5,4,5,4,4,5,6,5,5,5,5,5,5,4,6,6,5,4,5,5,6,6,5,4,5,6,7,6,5,5,6,25,1,87.5,3,1,1,31.045593261719,121.3996887207,-1
maycs,1, ,2,5,1,6,6,5,4,5,5,5,2,3,6,5,6,5,5,5,4,6,3,5,6,5,6,4,6,6,5,6,4,5,5,5,5,6,5,6,6,1,4,4,4,4,5,5,4,4,5,5,5,4,4,4,4,5,5,4,4,5,4,5,5,4,4,5,4,4,5,6,5,5,5,35,0,87.5,5,3,1,40.696304321289,-73.620697021484,-1
Apple Store,2, ,3,7,1,5,5,5,5,4,4,6,4,3,4,6,5,5,6,5,4,6,6,5,5,2,3,5,6,3,5,5,4,4,4,5,3,5,4,4,6,1,5,6,5,4,4,5,6,5,5,5,4,4,4,5,6,5,4,5,4,6,3,4,5,5,5,4,6,5,5,7,6,5,6,24,1,62.5,3,5,1,40.745803833008,-73.638999938965,-1
macys,5,handbags,2,4,1,4,4,6,5,6,4,6,7,6,5,6,5,3,4,4,6,6,7,6,7,7,3,5,6,6,6,6,4,4,4,6,4,4,6,6,7,1,5,4,6,4,4,6,4,7,7,7,7,6,5,7,6,7,4,6,5,4,5,7,4,7,7,6,5,5,6,6,5,7,6,25,1,12.5,4,2,1,40.75700378418,-73.581398010254,-1
Macy's,3, ,3,4,1,5,3,4,3,6,5,6,4,5,5,3,5,4,5,6,4,5,6,3,6,5,4,5,6,5,4,3,5,5,5,5,6,6,4,5,6,1,5,6,6,4,4,3,5,5,5,5,2,5,5,4,4,6,4,4,5,5,4,4,4,5,5,4,6,5,5,6,5,6,4,62,1,62.5,3,1,1,40.745803833008,-73.638999938965,-1
7-eleven,1, ,3,9,1,4,6,4,7,7,5,6,4,4,6,6,5,5,5,5,5,4,6,5,5,6,4,5,6,5,4,4,6,6,6,6,6,5,5,5,6,1,5,5,4,4,5,4,5,6,4,4,5,4,4,5,4,4,4,6,3,5,4,3,4,5,4,5,4,4,4,4,4,4,4,27,1,62.5,5,5,1,40.744903564453,-73.978202819824,-1
TARGET,3, ,2,10,1,5,4,6,6,5,5,5,6,3,6,4,6,5,6,6,5,6,5,5,6,5,5,5,6,6,6,7,6,5,5,5,5,5,6,6,5,1,5,4,3,4,4,3,3,3,4,4,4,5,3,5,5,4,4,4,4,4,4,3,3,4,4,5,4,4,3,4,3,3,3,27,1,62.5,4,5,1,40.722793579102,-73.516998291016,-1
modells,2, ,1,7,1,5,5,5,4,5,5,5,4,5,5,4,4,5,5,6,4,5,6,6,5,5,5,5,6,5,5,5,5,5,5,6,5,6,6,5,6,1,5,5,4,4,4,5,5,6,5,5,6,5,5,5,5,4,4,5,5,5,4,5,4,4,6,5,4,5,5,4,4,4,4,35,1,112.5,5,1,1,40.696304321289,-73.620697021484,-1
Bloomingdale's,3, ,1,4,1,4,6,5,5,4,4,3,6,5,6,5,5,4,5,5,6,5,6,5,6,5,6,5,6,6,6,4,4,6,5,6,5,5,5,6,6,1,5,6,4,4,6,6,5,4,6,5,5,5,5,5,5,6,4,4,4,4,5,5,5,5,5,5,4,4,6,6,6,6,6,29,1,12.5,3,5,1,40.696304321289,-73.620697021484,-1
costco,1, ,3,6,1,7,5,7,5,5,4,6,7,5,7,5,6,5,4,6,4,5,4,5,6,7,7,5,6,7,7,5,6,5,6,6,6,5,4,5,6,1,5,6,7,4,5,4,7,4,5,6,6,7,7,5,6,6,4,4,6,7,7,7,5,6,4,5,6,7,6,6,5,5,5,32,1,137.5,4,5,1,40.71110534668,-73.946899414062,-1
IKEA,2, ,3,7,1,6,6,5,5,6,6,5,5,6,3,4,5,5,5,4,3,4,6,6,5,3,5,6,6,6,4,3,3,6,4,5,6,4,5,4,5,1,3,4,6,4,6,4,5,6,5,5,4,3,5,5,5,6,3,5,3,4,5,5,5,4,5,3,6,5,5,6,6,6,5,35,0,87.5,5,1,1,40.745803833008,-73.638999938965,-1
costco,1, ,2,6,1,6,6,5,5,5,6,5,5,5,6,4,4,4,6,4,4,5,5,4,5,6,6,6,6,5,6,3,6,5,5,6,3,3,3,6,5,1,6,5,6,4,5,5,6,4,5,5,5,4,4,4,4,6,6,5,5,5,4,6,6,5,4,4,5,4,7,6,7,5,5,34,0,162.5,5,1,1,40.766998291016,-73.525398254395,-1
Costco,1, ,3,6,1,6,5,6,5,6,6,6,6,5,6,6,6,6,5,6,6,6,5,6,6,6,6,6,6,5,5,6,5,6,6,5,5,4,6,5,5,1,4,6,6,4,6,5,5,5,6,3,5,6,5,4,5,4,5,4,5,5,6,4,4,5,6,6,6,4,4,6,2,4,5,31,0,37.5,5,5,1,40.755294799805,-73.992401123047,-1
7-Eleven,1, ,3,9,1,4,6,7,4,5,5,7,4,7,6,5,5,5,6,7,6,5,6,6,4,5,4,7,6,5,4,5,4,5,6,7,5,6,6,6,6,1,6,5,5,4,6,5,6,7,7,6,5,5,5,5,5,4,6,6,5,5,4,4,6,5,7,5,6,5,5,5,5,5,5,34,0,87.5,5,1,1,40.696304321289,-73.620697021484,-1
Gavida,1, ,3,7,1,6,6,5,4,5,7,5,6,5,5,6,6,6,4,5,4,4,6,5,5,6,4,7,6,4,3,6,5,6,5,6,5,4,6,4,5,1,6,6,5,4,4,6,5,6,6,6,5,5,6,5,4,6,5,5,6,5,6,5,5,6,5,6,6,5,6,6,5,5,5,27,0,12.5,4,5,1,40.705795288086,-73.592300415039,-1
Joy,3, ,2,6,1,6,4,5,5,6,5,6,4,5,5,4,7,6,5,5,4,4,7,5,6,6,5,7,6,4,5,6,6,5,5,5,5,6,4,6,6,1,6,5,5,4,6,5,6,6,5,4,6,4,6,6,4,6,7,5,5,6,6,5,6,7,5,5,4,5,6,6,6,5,5,26,0,87.5,5,5,1,39.142196655273,117.17669677734,-1
Trader Joe‘s,1, ,3,5,1,5,5,5,6,4,5,5,6,6,6,7,6,6,6,6,6,5,6,4,4,6,6,3,7,5,4,5,4,6,4,6,6,5,6,3,6,1,5,5,4,4,3,5,4,6,3,3,6,6,6,6,6,4,6,4,4,5,5,6,6,4,6,6,6,4,5,5,5,4,4,24,0,37.5,3,5,1,40.705795288086,-73.592300415039,-1
dicks sporting goods,2, ,3,7,1,6,4,7,7,7,7,7,7,7,7,6,4,1,7,7,7,5,4,5,1,6,5,4,7,7,6,6,4,6,7,7,7,6,7,7,7,1,7,7,2,4,7,4,5,4,7,4,7,7,7,7,7,4,6,7,5,5,4,4,4,2,5,1,4,3,4,4,4,4,4,63,1,112.5,4,1,1,40.705795288086,-73.592300415039,-1
H Mart,1, ,2,5,1,5,4,5,5,6,4,3,6,6,6,5,4,7,6,4,4,4,4,6,4,6,5,4,7,4,5,3,4,5,6,6,5,4,4,4,6,1,4,4,5,4,4,3,6,4,3,4,3,5,3,5,5,5,4,4,3,4,3,5,4,4,4,4,4,4,4,5,4,5,4,25,1,37.5,4,5,1,40.727600097656,-73.634399414062,-1
Apple Store,2, ,2,7,1,6,7,7,7,7,7,4,7,7,7,4,6,3,7,4,7,7,7,7,7,7,7,4,7,7,7,7,6,7,7,6,7,5,3,7,7,1,5,5,6,4,6,6,6,6,6,5,6,5,7,7,7,4,7,7,6,6,6,6,6,6,6,7,7,7,7,7,7,3,3,31,1,87.5,5,1,1,40.722793579102,-73.516998291016,-1
macys,3, ,3,4,1,6,4,4,5,5,5,5,4,4,4,4,5,7,7,7,5,5,4,5,7,4,5,5,7,5,7,5,4,5,5,6,6,4,5,5,4,1,5,5,4,4,5,5,5,4,6,5,4,5,6,4,4,5,6,6,5,7,6,4,4,5,5,4,6,4,4,5,4,5,4,39,1,112.5,5,5,1,40.696304321289,-73.620697021484,-1
Best Market,1, ,3,5,1,6,6,6,6,6,6,6,6,7,6,5,6,7,7,6,6,6,6,6,6,6,7,6,7,7,7,6,7,7,6,7,7,6,6,7,6,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,1,4,4,4,2,4,4,6,6,7,6,7,46,0,62.5,5,1,1,40.722793579102,-73.516998291016,-1
Levi's,3, ,2,7,1,2,7,5,7,3,3,5,4,5,5,6,6,4,4,6,2,2,3,3,3,5,6,4,1,4,7,5,6,3,4,2,7,6,5,3,6,1,5,2,4,5,7,7,5,4,4,5,6,3,3,2,4,4,6,4,4,4,5,5,3,5,6,3,3,3,7,5,4,6,6,42,1,112.5,5,1,1,40.696304321289,-73.620697021484,-1
dot rember,1, ,2,5,1,3,4,2,3,2,2,4,4,3,3,2,2,4,2,3,2,3,4,2,3,3,2,2,2,3,2,3,3,3,2,3,2,2,2,3,3,1,4,4,5,5,3,4,5,4,5,5,4,5,4,4,5,4,4,5,4,4,3,3,5,5,5,4,5,4,5,5,6,4,6,25,0,12.5,4,5,1,41.792205810547,123.43280029297,-1
Dollar Tree,3, ,3,10,1,5,2,2,5,6,5,5,3,3,3,5,4,5,3,3,5,5,1,2,2,4,2,2,2,4,3,7,7,6,3,3,2,3,2,2,3,1,7,7,5,5,5,7,3,5,5,3,7,7,7,7,1,3,3,2,5,6,7,6,5,3,5,1,2,7,5,5,5,5,5,26,1,12.5,3,1,1,40.873199462891,-73.081199645996,-1
 ,1, ,3,4,1,3,3,1,3,7,6,7,6,7,6,2,3,2,6,6,3,2,3,4,4,4,4,2,2,4,3,3,4,6,4,6,6,6,6,2,5,1,2,5,2,5,4,3,2,4,4,2,2,6,7,2,2,2,2,2,2,4,2,5,3,3,3,6,4,4,2,4,2,2,2,29,1,12.5,4,5,1,44.564193725586,-123.27899932861,-1
 ,1, ,2,4,1,1,1,2,2,3,2,2,1,2,2,2,2,1,3,2,2,2,2,1,1,2,2,3,2,1,2,1,3,2,2,2,3,1,2,1,2,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,37,0,112.5,4,3,1,40.403305053711,-74.036399841309,-1
Hallmark,4, ,3,7,1,3,2,3,3,2,4,2,3,4,2,6,5,7,3,3,3,5,5,3,4,3,2,3,2,3,1,4,4,5,3,6,3,4,3,1,4,1,3,3,4,5,4,2,5,5,5,5,5,3,5,5,5,5,5,5,5,3,4,5,5,5,5,5,5,5,3,5,3,3,3,27,1,12.5,5,5,1,40.76220703125,-73.912101745605,-1
Home Depot,2, ,3,6,1,3,6,1,3,3,3,3,5,4,5,7,6,6,6,5,3,6,6,6,5,3,6,3,2,3,3,3,5,5,5,5,5,4,5,5,5,1,7,7,3,5,5,5,3,6,6,3,7,7,7,7,3,3,3,3,3,7,6,6,6,6,6,6,6,6,6,6,6,7,7,31,1,87.5,5,1,1,40.702102661133,-73.706199645996,-1
Target,2, ,1,10,1,4,4,5,3,3,4,2,3,6,3,2,4,1,2,3,4,2,3,4,3,4,3,2,3,4,3,3,4,4,4,4,4,2,3,4,4,1,3,3,3,5,4,3,3,3,4,2,3,2,3,3,1,4,4,2,4,3,2,4,4,2,4,2,3,4,3,4,4,3,3,22,1,37.5,3,5,1,40.714294433594,-74.005996704102,-1
7-11,1, ,3,9,1,4,5,4,7,7,6,5,5,4,2,1,2,5,4,6,7,4,4,6,4,4,6,2,3,4,6,1,1,4,1,5,5,4,4,4,4,1,5,6,6,5,7,7,1,5,4,4,7,7,7,7,4,1,3,3,1,5,7,6,7,5,6,4,7,5,2,5,4,2,2,32,1,12.5,3,5,1,40.634292602539,-73.63809967041,-1
Walmart,1, ,2,5,1,1,1,1,3,3,1,1,1,1,3,1,1,1,1,3,1,3,3,3,3,3,3,3,3,1,1,3,1,1,1,3,3,3,3,3,1,1,5,6,6,5,6,6,5,6,6,5,5,5,5,6,5,5,6,6,6,5,6,5,6,6,6,6,6,5,6,6,6,6,6,33,0,87.5,5,4,1,45.75,126.64999389648,-1
Whole food,1, ,2,5,1,1,1,2,1,2,1,2,2,3,3,2,1,1,3,3,3,3,1,5,2,3,3,3,3,3,3,3,4,4,3,3,3,4,3,2,4,1,3,3,4,5,3,2,4,4,5,2,3,4,4,3,3,3,4,2,4,3,4,2,3,5,3,4,2,3,3,3,3,4,3,22,0,12.5,3,5,1,40.80859375,-74.186897277832,-1
Costco,1, ,3,6,1,4,3,5,3,4,5,4,5,5,4,3,3,3,3,5,4,5,4,5,3,5,4,3,3,5,4,5,3,5,3,3,4,4,6,5,5,1,4,5,4,5,4,3,5,5,4,6,3,4,3,4,4,5,5,3,3,5,6,5,4,4,5,4,5,4,4,5,3,5,3,24,1,12.5,3,5,1,40.766998291016,-73.525398254395,-1
macy's,3, ,1,4,1,4,5,3,4,2,2,2,3,3,4,3,6,5,5,6,3,4,5,5,5,3,5,3,3,6,5,3,4,5,3,6,5,3,5,3,3,1,3,5,2,5,5,4,3,4,4,2,5,5,5,5,3,3,2,2,2,5,3,5,5,5,6,5,3,5,4,4,4,4,4,29,0,12.5,5,1,1,40.748199462891,-73.906799316406,-1
Kohl's,3, ,2,4,1,3,6,4,5,7,6,7,4,4,5,5,2,5,5,6,3,6,6,5,6,5,5,3,3,6,6,6,5,5,5,4,4,5,4,4,4,1,4,6,3,5,3,4,3,4,5,4,6,6,6,6,3,5,4,3,3,5,5,6,5,5,5,6,5,6,5,6,5,4,4,27,1,12.5,4,5,1,40.739501953125,-73.793899536133,-1
BJ's,1, ,3,6,1,3,5,3,6,6,5,7,7,6,7,6,6,6,6,3,5,6,6,6,5,6,6,3,3,5,6,4,6,6,5,6,6,6,4,5,5,1,6,6,3,5,6,6,6,6,6,1,6,6,6,6,6,3,3,5,6,6,6,6,6,4,5,6,6,6,6,6,6,6,6,28,0,137.5,4,1,1,40.722793579102,-73.516998291016,-1
home depot,2, ,3,10,1,5,6,6,6,5,6,5,5,4,5,4,6,4,6,6,6,5,6,4,6,3,3,4,3,5,4,3,3,6,3,6,5,5,5,3,4,1,4,4,4,5,4,6,5,4,5,5,5,5,5,4,4,6,5,4,4,6,5,5,5,6,6,4,4,5,2,2,2,3,3,35,1,112.5,5,1,1,40.696594238281,-73.760398864746,-1
Stop shop,1, ,2,5,1,4,3,4,4,5,5,4,4,4,4,3,3,3,4,4,5,4,3,4,4,4,3,4,3,4,4,4,3,4,4,4,5,4,4,2,4,1,4,3,3,5,4,4,3,4,4,3,4,3,4,3,5,4,2,4,3,4,4,4,4,5,5,4,4,2,3,3,3,3,3,32,0,37.5,3,1,1,40.696304321289,-73.620697021484,-1
walgreen,5,photos,3,7,1,5,4,5,5,6,5,5,5,6,4,4,5,3,5,5,4,5,4,3,4,3,4,4,3,3,4,4,5,5,5,5,5,5,5,4,5,1,5,4,4,5,4,4,4,4,4,4,5,5,5,5,4,4,5,4,4,5,5,5,5,5,5,5,5,5,4,4,4,4,4,25,0,37.5,3,5,1,40.727600097656,-73.634399414062,-1
Stop &Shop,1, ,3,5,1,4,3,5,4,5,3,7,4,3,5,4,4,5,5,5,6,4,4,3,5,3,4,4,3,4,4,4,5,4,4,4,5,3,2,4,5,1,5,4,3,5,4,3,4,5,4,3,5,5,6,5,3,4,4,3,3,4,5,5,4,5,6,5,4,5,4,5,4,4,4,25,0,12.5,3,5,1,40.673492431641,-73.492401123047,-1
best buy,2, ,2,7,1,3,3,4,4,3,5,4,4,4,3,4,3,5,4,6,5,4,6,3,5,4,4,4,3,5,3,3,3,5,3,5,5,4,6,3,6,1,4,5,4,5,4,3,5,5,5,4,4,4,4,5,3,4,3,5,6,3,4,5,4,5,3,5,5,6,4,5,5,3,3,27,1,162.5,4,5,1,40.722503662109,-73.556800842285,-1
Walmart,1, ,2,4,1,4,4,3,5,5,5,4,2,3,2,3,4,4,3,6,5,5,4,3,3,5,4,4,3,3,3,5,5,3,3,5,2,3,4,2,2,1,5,6,3,5,5,5,3,3,5,4,5,6,7,5,3,3,3,3,3,5,5,5,5,3,3,5,5,5,5,5,5,5,5,30,1,62.5,5,5,1,40.766998291016,-73.525398254395,-1
H&M,3, ,1,4,1,4,3,4,5,4,5,5,4,3,5,4,4,3,5,5,3,4,5,4,4,5,4,4,3,4,4,5,3,4,5,4,5,4,3,3,4,1,6,5,4,5,4,6,4,6,5,5,6,5,5,5,4,6,5,6,5,5,5,5,4,5,6,6,5,4,5,5,4,5,4,23,0,87.5,5,5,1,40.696304321289,-73.620697021484,-1
woodbury,3, ,2,10,1,6,5,3,6,7,5,7,4,5,5,6,6,4,6,7,6,6,5,4,7,4,6,4,3,5,4,6,6,5,5,6,5,4,3,6,6,1,6,4,6,5,6,4,6,5,5,6,6,6,5,5,6,6,6,5,6,5,5,6,3,6,6,6,6,4,5,6,6,6,4,22,0,12.5,4,5,1,40.772094726562,-73.930099487305,-1
Torres,1, ,2,5,1,3,5,4,6,5,6,5,4,4,3,2,5,2,4,5,6,6,4,3,5,3,3,5,3,5,3,4,4,5,4,5,5,5,5,4,5,1,3,5,4,5,5,6,4,4,5,4,6,4,5,5,5,3,3,4,4,5,5,5,5,5,5,5,3,3,5,5,4,4,4,22,0,12.5,3,5,1,40.696304321289,-73.620697021484,-1
hualong,1, ,3,5,1,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,3,3,3,5,5,3,5,3,3,3,3,5,5,5,3,5,5,5,3,3,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,29,1,12.5,5,1,1,34.25830078125,108.92858886719,-1
best buy,2, ,2,7,1,4,5,4,4,3,5,3,4,5,4,4,3,3,5,4,4,4,4,5,4,4,5,5,3,4,4,5,5,4,4,5,5,4,3,3,5,1,5,5,7,5,5,5,5,5,5,3,4,3,5,3,4,5,5,5,4,6,4,4,5,2,5,5,4,4,4,5,4,5,4,45,0,87.5,5,1,1,40.696304321289,-73.620697021484,-1
Westbeef,1, ,3,5,1,6,4,5,5,5,4,5,5,4,4,3,5,5,7,4,5,4,5,6,6,5,6,5,3,6,4,5,6,5,5,3,7,5,5,7,7,1,5,4,7,5,5,4,5,5,4,4,5,5,6,6,6,3,5,4,6,5,5,7,7,4,5,5,4,5,6,5,5,6,7,23,1,62.5,3,5,1,40.727600097656,-73.634399414062,-1
Vans,3, ,2,4,1,4,6,4,5,4,3,5,4,6,6,3,4,5,3,2,5,5,5,6,4,3,6,6,3,6,4,5,6,4,5,5,7,4,5,5,6,1,3,4,5,5,4,5,7,6,3,7,6,5,5,5,4,6,3,6,4,4,7,5,4,5,4,5,5,6,5,5,4,5,4,33,1,87.5,4,5,1,40.696304321289,-73.620697021484,-1
neiman marcus,3, ,2,4,1,4,3,6,3,3,5,6,4,4,3,3,5,6,4,5,3,4,5,3,4,3,3,3,4,5,4,6,4,4,5,5,4,5,4,6,4,1,5,4,3,5,4,5,4,4,5,4,5,4,4,3,5,3,3,5,4,7,5,3,3,4,3,5,5,4,5,5,5,5,4,30,0,37.5,4,2,1,40.766998291016,-73.525398254395,-1
Sky food,1, ,3,5,1,2,3,6,6,6,4,5,4,4,3,6,6,6,6,6,5,6,6,3,2,4,3,3,4,3,5,5,5,5,4,5,4,3,4,3,3,1,5,5,5,5,5,4,4,5,5,6,6,6,4,6,3,6,5,6,5,5,6,5,5,5,5,6,5,6,4,5,5,4,4,25,0,12.5,4,2,1,40.745803833008,-73.638999938965,-1
stop&shop,1, ,3,5,1,6,4,4,5,4,3,5,2,4,3,4,2,4,4,5,4,2,4,4,5,3,4,3,4,4,3,4,4,3,4,3,5,4,2,2,4,1,3,2,2,5,4,6,5,2,4,3,4,5,2,2,5,5,3,3,4,3,5,4,5,4,6,5,4,6,5,3,3,4,4,23,0,12.5,3,5,1,40.73860168457,-73.722396850586,-1
nordstrom,3, ,2,4,1,7,4,6,4,5,5,5,3,4,5,3,5,6,4,5,6,5,6,4,4,4,4,3,4,4,5,5,5,5,4,5,5,6,5,4,4,1,3,5,3,5,5,5,3,4,3,3,3,4,3,5,3,3,3,3,3,5,4,5,3,3,3,3,3,3,5,5,5,5,5,24,0,12.5,4,5,1,40.726699829102,-73.998100280762,-1
Stop & Shop,1, ,3,5,1,4,5,5,5,5,5,5,5,5,5,3,5,4,5,6,3,4,5,3,5,5,5,3,4,4,6,5,4,5,4,5,4,4,3,4,3,1,3,5,3,5,3,4,3,3,5,3,6,6,6,6,2,3,3,3,4,4,4,3,5,5,3,5,5,5,5,5,5,4,4,31,1,87.5,5,5,1,40.766998291016,-73.525398254395,-1
Spring Garden Market,1, ,3,5,1,3,5,4,5,6,5,5,4,4,3,3,4,4,4,6,6,5,6,4,4,5,6,3,4,4,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,6,5,4,6,4,5,6,5,5,5,6,4,5,3,5,5,5,4,4,5,4,5,4,1,2,1,1,1,26,1,12.5,4,5,1,39.935897827148,-75.153396606445,-1
best buy,2, ,3,7,1,4,3,4,3,3,4,3,4,3,4,3,4,4,3,4,3,4,4,3,3,3,3,4,4,3,4,3,4,3,3,3,3,3,3,3,4,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,50,0,187.5,5,1,1,40.705795288086,-73.592300415039,-1
costco,1, ,2,6,1,4,4,4,4,5,5,4,5,4,4,4,4,4,3,5,3,4,5,4,4,4,3,4,4,4,4,4,5,5,5,4,3,5,4,5,4,1,4,4,4,5,4,3,4,5,5,6,4,5,4,3,5,4,5,4,5,5,4,4,4,3,5,4,5,4,4,5,4,4,3,43,0,87.5,4,1,1,40.696304321289,-73.620697021484,-1
